model,use_reasoning,query_type,variant,n,k,hit_rate,boot_ci_lo,boot_ci_hi,cp_ci_lo,cp_ci_hi
25k_salesforce_1_epoch,True,relational_query,text_shrink,429,165,0.38461538461538464,0.34032634032634035,0.43123543123543123,0.33834808734404137,0.432485713201723
all,False,direct_query,original,429,385,0.8974358974358975,0.8671328671328671,0.9254079254079254,0.8647635225007736,0.9244832087190984
all,False,direct_query,precision,429,369,0.8601398601398601,0.8251748251748252,0.8927738927738927,0.8236673994400081,0.8915460796373882
all,False,direct_query,style,429,376,0.8764568764568764,0.8438228438228438,0.9067599067599068,0.8415334343954067,0.9060722959676452
all,False,direct_query,text_shrink,429,381,0.8881118881118881,0.8578088578088578,0.9184149184149184,0.8543993041875344,0.9163413457081576
all,False,relational_query,original,429,119,0.2773892773892774,0.23543123543123542,0.32167832167832167,0.23551983103440968,0.3223598523286982
all,False,relational_query,precision,429,102,0.23776223776223776,0.19813519813519814,0.2773892773892774,0.19824049110352082,0.2809435495103326
all,False,relational_query,style,429,115,0.2680652680652681,0.2261072261072261,0.31002331002331,0.22670884156606588,0.312653891769193
all,False,relational_query,text_shrink,429,109,0.2540792540792541,0.21212121212121213,0.29603729603729606,0.2135368560443322,0.2980508092750609
all,True,direct_query,original,429,373,0.8694638694638694,0.8368298368298368,0.8997668997668997,0.8338569588595386,0.8998668025787799
all,True,direct_query,precision,429,349,0.8135198135198135,0.7762237762237763,0.8508158508158508,0.7733782289588125,0.8492717431972712
all,True,direct_query,style,429,359,0.8368298368298368,0.8018065268065274,0.8717948717948718,0.7983970547198231,0.8705367737674189
all,True,direct_query,text_shrink,429,371,0.8648018648018648,0.8321678321678322,0.8951048951048951,0.8287558826268837,0.8957128691713276
all,True,relational_query,original,429,173,0.40326340326340326,0.35664335664335667,0.44988344988344986,0.35648554885273626,0.4513848644329731
all,True,relational_query,precision,429,145,0.337995337995338,0.2937062937062937,0.3822843822843823,0.29332062983868606,0.3849227819960785
all,True,relational_query,style,429,167,0.38927738927738925,0.34265734265734266,0.4358974358974359,0.3428758568999641,0.4372170766827454
all,True,relational_query,text_shrink,429,165,0.38461538461538464,0.337995337995338,0.43123543123543123,0.33834808734404137,0.432485713201723
all_25k_3_epoch,False,direct_query,original,429,379,0.8834498834498834,0.8531468531468531,0.9114801864801856,0.8492416576158197,0.9122453033453444
all_25k_3_epoch,False,direct_query,precision,429,365,0.8508158508158508,0.8158508158508159,0.8834498834498834,0.8135261770856068,0.883176048693558
all_25k_3_epoch,False,direct_query,style,429,368,0.8578088578088578,0.8251748251748252,0.8904428904428905,0.8211277164169446,0.8894580342699127
all_25k_3_epoch,False,direct_query,text_shrink,429,377,0.8787878787878788,0.8461538461538461,0.9090909090909091,0.8440992008741828,0.9081336934948018
all_25k_3_epoch,False,relational_query,original,429,114,0.26573426573426573,0.22377622377622378,0.3076923076923077,0.2245097504907809,0.3102237739112268
all_25k_3_epoch,False,relational_query,precision,429,96,0.22377622377622378,0.18414918414918416,0.2634032634032634,0.18519396353474815,0.2662161654047617
all_25k_3_epoch,False,relational_query,style,429,106,0.24708624708624707,0.20512820512820512,0.289044289044289,0.20697165344125476,0.2907286560861123
all_25k_3_epoch,False,relational_query,text_shrink,429,112,0.26107226107226106,0.2191142191142191,0.30303030303030304,0.22011604154993816,0.30535910121071436
all_25k_3_epoch,True,direct_query,original,429,370,0.8624708624708625,0.8298368298368298,0.8951048951048951,0.8262101003479245,0.8936310466116979
all_25k_3_epoch,True,direct_query,precision,429,336,0.7832167832167832,0.7435897435897436,0.8205128205128205,0.7411709385764687,0.821305640672501
all_25k_3_epoch,True,direct_query,style,429,344,0.8018648018648019,0.7645687645687645,0.8391608391608392,0.7609512744080031,0.8385555843354997
all_25k_3_epoch,True,direct_query,text_shrink,429,363,0.8461538461538461,0.8111888111888111,0.8787878787878788,0.8084725179012042,0.8789737626839305
all_25k_3_epoch,True,relational_query,original,429,159,0.3706293706293706,0.32634032634032634,0.4172494172494173,0.32479157903084394,0.41826491344592115
all_25k_3_epoch,True,relational_query,precision,429,130,0.30303030303030304,0.25874125874125875,0.3473193473193473,0.2598658575278109,0.3489362734792046
all_25k_3_epoch,True,relational_query,style,429,164,0.3822843822843823,0.3356643356643357,0.4289044289044289,0.33608586773061583,0.43011837174576506
all_25k_3_epoch,True,relational_query,text_shrink,429,153,0.35664335664335667,0.3123543123543124,0.40326340326340326,0.31127598158854014,0.4040033563073126
baseline,False,direct_query,original,429,394,0.9184149184149184,0.8927738927738927,0.9440559440559441,0.8883603121688889,0.9425166936087007
baseline,False,direct_query,precision,429,369,0.8601398601398601,0.827447552447553,0.8927738927738927,0.8236673994400081,0.8915460796373882
baseline,False,direct_query,style,429,381,0.8881118881118881,0.8578088578088578,0.916083916083916,0.8543993041875344,0.9163413457081576
baseline,False,direct_query,text_shrink,429,394,0.9184149184149184,0.8904428904428905,0.9440559440559441,0.8883603121688889,0.9425166936087007
baseline,False,relational_query,original,429,120,0.27972027972027974,0.23776223776223776,0.32167832167832167,0.23772617634274615,0.3247827717929936
baseline,False,relational_query,precision,429,96,0.22377622377622378,0.1864801864801865,0.26346153846153764,0.18519396353474815,0.2662161654047617
baseline,False,relational_query,style,429,115,0.2680652680652681,0.2261072261072261,0.31002331002331,0.22670884156606588,0.312653891769193
baseline,False,relational_query,text_shrink,429,123,0.2867132867132867,0.24475524475524477,0.32867132867132864,0.24435367020194296,0.33204313375278854
baseline,True,direct_query,original,429,373,0.8694638694638694,0.8368298368298368,0.8997668997668997,0.8338569588595386,0.8998668025787799
baseline,True,direct_query,precision,429,355,0.8275058275058275,0.7902097902097902,0.8624708624708625,0.7883616643308007,0.8620590472143488
baseline,True,direct_query,style,429,359,0.8368298368298368,0.8018648018648019,0.8717948717948718,0.7983970547198231,0.8705367737674189
baseline,True,direct_query,text_shrink,429,379,0.8834498834498834,0.8531468531468531,0.9137529137529138,0.8492416576158197,0.9122453033453444
baseline,True,relational_query,original,429,171,0.3986013986013986,0.351981351981352,0.44522144522144524,0.35194461515431086,0.4466666255131034
baseline,True,relational_query,precision,429,148,0.34498834498834496,0.3006993006993007,0.38927738927738925,0.3000449749848923,0.392086868338854
baseline,True,relational_query,style,429,168,0.3916083916083916,0.3473193473193473,0.4382284382284382,0.3451413994012709,0.439581105962602
baseline,True,relational_query,text_shrink,429,167,0.38927738927738925,0.34265734265734266,0.4358974358974359,0.3428758568999641,0.4372170766827454
style,False,direct_query,original,429,385,0.8974358974358975,0.8694638694638694,0.9254079254079254,0.8647635225007736,0.9244832087190984
